,sorta,lokalitet,CHU,HU,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH
12,ZD,NS_CE,1144,4256,26/02/2014,3,02/04/2014,60
18,ZD,NS_CE,1649,5158,05/03/2015,1,22/04/2015,61
23,ZD,ZR_SU,1056,7334,29/01/2016,1,14/04/2016,67
17,ZD,NS_CE,1068,5805,02/02/2016,1,08/04/2016,61
5,ZD,RU_IK,0,0,10/02/2016,1,05/04/2016,62
8,ZD,KI_KI,913,5734,01/03/2017,1,13/04/2017,65
24,ZD,ZR_SU,856,5972,01/03/2017,1,12/04/2017,67
11,ZD,NS_CE,871,4943,02/03/2017,3,05/04/2017,65
3,ZD,RU_IK,904,5354,04/03/2017,3,07/04/2017,62
9,ZD,NS_CE,1165,6837,31/01/2018,1,18/04/2018,65
7,ZD,KI_KI,1305,6151,07/02/2018,1,18/04/2018,65
19,ZD,ZR_SU,1684,5362,03/03/2018,1,16/04/2018,63
2,ZD,RU_IK,1667,6126,06/03/2018,1,16/04/2018,61
