,sorta,lokalitet,CHU,HU,chilling start,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH
1,ZD,KI_KI,1416,6119,2017-11-01,2018-02-13,1,2018-04-18,65
2,ZD,KI_KI,1003,5050,2016-11-01,2017-03-07,1,2017-04-13,65
3,ZD,NS_CE,1320,6566,2017-11-01,2018-02-06,1,2018-04-18,65
5,ZD,NS_CE,1005,4248,2016-11-01,2017-03-08,3,2017-04-05,65
6,ZD,NS_CE,1396,3899,2013-11-01,2014-03-04,3,2014-04-02,60
11,ZD,NS_CE,1109,5602,2015-11-01,2016-02-08,1,2016-04-08,61
12,ZD,NS_CE,1747,5060,2014-11-01,2015-03-11,1,2015-04-22,61
13,ZD,ZR_SU,1696,5308,2017-11-01,2018-03-09,1,2018-04-16,63
17,ZD,ZR_SU,1105,7065,2015-11-01,2016-02-04,1,2016-04-14,67
18,ZD,ZR_SU,977,5225,2016-11-01,2017-03-07,1,2017-04-12,67
