,sorta,lokalitet,CHU,HU,chilling start,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH,izracunati_flowering
2,ZD,RU_IK,1431,4503,2017-11-15,2018-03-12,1,2018-04-16,61,2018-04-13 06:00:00
3,ZD,RU_IK,923,4506,2016-11-15,2017-03-10,3,2017-04-07,62,2017-04-05 10:00:00
5,ZD,RU_IK,0,0,2015-11-15,2016-02-16,1,2016-04-05,62,
7,ZD,KI_KI,1346,4507,2017-11-15,2018-03-07,1,2018-04-18,65,2018-04-13 09:00:00
8,ZD,KI_KI,946,4501,2016-11-15,2017-03-15,1,2017-04-13,65,2017-04-11 09:00:00
9,ZD,NS_CE,1296,4500,2017-11-15,2018-03-07,1,2018-04-18,65,2018-04-12 05:00:00
11,ZD,NS_CE,818,4248,2016-11-15,2017-03-08,3,2017-04-05,65,
12,ZD,NS_CE,1320,3899,2013-11-15,2014-03-04,3,2014-04-02,60,
17,ZD,NS_CE,1240,4500,2015-11-15,2016-02-23,1,2016-04-08,61,2016-04-07 22:00:00
18,ZD,NS_CE,1755,4502,2014-11-15,2015-03-17,1,2015-04-22,61,2015-04-20 12:00:00
19,ZD,ZR_SU,1528,4332,2017-11-15,2018-03-16,1,2018-04-16,63,
23,ZD,ZR_SU,1304,4517,2015-11-15,2016-02-25,1,2016-04-14,67,2016-04-08 14:00:00
24,ZD,ZR_SU,800,4500,2016-11-15,2017-03-07,1,2017-04-12,67,2017-04-07 21:00:00
