,Tavg,Tmax,Tmin,opstina,mesto,usev
01/11/2016 00:00,2.9,3.19,2.59,Kikinda,Kikinda,Sljiva
01/11/2016 01:00,3.54,3.96,2.98,Kikinda,Kikinda,Sljiva
01/11/2016 02:00,4.08,4.28,3.96,Kikinda,Kikinda,Sljiva
01/11/2016 03:00,4.2,4.44,4.01,Kikinda,Kikinda,Sljiva
01/11/2016 04:00,4.03,4.2,3.96,Kikinda,Kikinda,Sljiva
01/11/2016 05:00,4.18,4.25,4.14,Kikinda,Kikinda,Sljiva
01/11/2016 06:00,4.12,4.37,3.92,Kikinda,Kikinda,Sljiva
01/11/2016 07:00,4.59,4.91,4.4,Kikinda,Kikinda,Sljiva
01/11/2016 08:00,5.47,6.06,5.02,Kikinda,Kikinda,Sljiva
01/11/2016 09:00,7.28,8.12,6.35,Kikinda,Kikinda,Sljiva
01/11/2016 10:00,9.47,11.03,8.34,Kikinda,Kikinda,Sljiva
01/11/2016 11:00,11.15,11.63,10.72,Kikinda,Kikinda,Sljiva
01/11/2016 12:00,12.13,12.58,11.68,Kikinda,Kikinda,Sljiva
01/11/2016 13:00,13.03,13.46,12.71,Kikinda,Kikinda,Sljiva
01/11/2016 14:00,13.2,13.41,12.86,Kikinda,Kikinda,Sljiva
01/11/2016 15:00,12.43,12.72,11.85,Kikinda,Kikinda,Sljiva
01/11/2016 16:00,10.69,11.61,9.87,Kikinda,Kikinda,Sljiva
01/11/2016 17:00,8.86,9.83,8.01,Kikinda,Kikinda,Sljiva
01/11/2016 18:00,7.07,7.77,6.77,Kikinda,Kikinda,Sljiva
01/11/2016 19:00,7.18,7.39,6.94,Kikinda,Kikinda,Sljiva
01/11/2016 20:00,6.33,7.02,5.71,Kikinda,Kikinda,Sljiva
01/11/2016 21:00,5.11,5.6,4.75,Kikinda,Kikinda,Sljiva
01/11/2016 22:00,4.61,4.72,4.42,Kikinda,Kikinda,Sljiva
01/11/2016 23:00,4.67,4.85,4.44,Kikinda,Kikinda,Sljiva
02/11/2016 00:00,4.19,4.42,4.03,Kikinda,Kikinda,Sljiva
02/11/2016 01:00,3.98,4.24,3.53,Kikinda,Kikinda,Sljiva
02/11/2016 02:00,3.42,3.54,3.31,Kikinda,Kikinda,Sljiva
02/11/2016 03:00,3.58,3.64,3.52,Kikinda,Kikinda,Sljiva
02/11/2016 04:00,3.69,3.77,3.56,Kikinda,Kikinda,Sljiva
02/11/2016 05:00,3.39,3.7,2.99,Kikinda,Kikinda,Sljiva
02/11/2016 06:00,2.87,2.98,2.61,Kikinda,Kikinda,Sljiva
02/11/2016 07:00,2.57,2.79,2.44,Kikinda,Kikinda,Sljiva
02/11/2016 08:00,4.42,6.05,2.98,Kikinda,Kikinda,Sljiva
02/11/2016 09:00,7.93,9.78,6.35,Kikinda,Kikinda,Sljiva
02/11/2016 10:00,11.61,13.18,10.2,Kikinda,Kikinda,Sljiva
02/11/2016 11:00,13.55,14.26,13.07,Kikinda,Kikinda,Sljiva
02/11/2016 12:00,15.76,16.58,14.18,Kikinda,Kikinda,Sljiva
02/11/2016 13:00,16.34,16.6,16.09,Kikinda,Kikinda,Sljiva
02/11/2016 14:00,16.17,16.22,16.11,Kikinda,Kikinda,Sljiva
02/11/2016 15:00,15.17,15.99,14.43,Kikinda,Kikinda,Sljiva
02/11/2016 16:00,12.62,14.27,11.48,Kikinda,Kikinda,Sljiva
02/11/2016 17:00,11.14,11.45,10.92,Kikinda,Kikinda,Sljiva
02/11/2016 18:00,10.82,10.91,10.75,Kikinda,Kikinda,Sljiva
02/11/2016 19:00,10.68,10.75,10.64,Kikinda,Kikinda,Sljiva
02/11/2016 20:00,10.86,11.02,10.74,Kikinda,Kikinda,Sljiva
02/11/2016 21:00,10.89,10.99,10.82,Kikinda,Kikinda,Sljiva
02/11/2016 22:00,10.79,10.82,10.76,Kikinda,Kikinda,Sljiva
02/11/2016 23:00,9.9,10.75,8.24,Kikinda,Kikinda,Sljiva
03/11/2016 00:00,8.34,8.73,7.89,Kikinda,Kikinda,Sljiva
03/11/2016 01:00,7.49,7.76,7.27,Kikinda,Kikinda,Sljiva
03/11/2016 02:00,7.14,7.29,7.04,Kikinda,Kikinda,Sljiva
03/11/2016 03:00,6.99,7.08,6.81,Kikinda,Kikinda,Sljiva
03/11/2016 04:00,6.76,6.81,6.73,Kikinda,Kikinda,Sljiva
03/11/2016 05:00,6.81,6.85,6.75,Kikinda,Kikinda,Sljiva
03/11/2016 06:00,6.77,6.82,6.72,Kikinda,Kikinda,Sljiva
03/11/2016 07:00,6.75,6.81,6.69,Kikinda,Kikinda,Sljiva
03/11/2016 08:00,6.94,7.06,6.87,Kikinda,Kikinda,Sljiva
03/11/2016 09:00,7.32,7.48,7.15,Kikinda,Kikinda,Sljiva
03/11/2016 10:00,7.77,8.07,7.51,Kikinda,Kikinda,Sljiva
03/11/2016 11:00,8.41,8.67,8.16,Kikinda,Kikinda,Sljiva
03/11/2016 12:00,9.41,9.78,8.77,Kikinda,Kikinda,Sljiva
03/11/2016 13:00,10.19,10.7,9.82,Kikinda,Kikinda,Sljiva
03/11/2016 14:00,10.87,11.13,10.51,Kikinda,Kikinda,Sljiva
03/11/2016 15:00,10.39,11.05,9.48,Kikinda,Kikinda,Sljiva
03/11/2016 16:00,8.89,9.46,7.82,Kikinda,Kikinda,Sljiva
03/11/2016 17:00,5.89,7.46,4.39,Kikinda,Kikinda,Sljiva
03/11/2016 18:00,3.72,4.27,3.1,Kikinda,Kikinda,Sljiva
03/11/2016 19:00,2.23,3.18,1.54,Kikinda,Kikinda,Sljiva
03/11/2016 20:00,1.48,1.94,1.11,Kikinda,Kikinda,Sljiva
03/11/2016 21:00,1.97,2.15,1.73,Kikinda,Kikinda,Sljiva
03/11/2016 22:00,1.83,2.33,1.45,Kikinda,Kikinda,Sljiva
03/11/2016 23:00,2.02,2.44,1.87,Kikinda,Kikinda,Sljiva
04/11/2016 00:00,1.11,1.85,0.22,Kikinda,Kikinda,Sljiva
04/11/2016 01:00,0.15,0.34,-0.03,Kikinda,Kikinda,Sljiva
04/11/2016 02:00,-0.36,0.12,-1.32,Kikinda,Kikinda,Sljiva
04/11/2016 03:00,-1.28,-0.99,-1.57,Kikinda,Kikinda,Sljiva
04/11/2016 04:00,-2.12,-1.68,-2.39,Kikinda,Kikinda,Sljiva
04/11/2016 05:00,-2.54,-2.11,-3.04,Kikinda,Kikinda,Sljiva
04/11/2016 06:00,-2.47,-2.15,-2.83,Kikinda,Kikinda,Sljiva
04/11/2016 07:00,-2.5,-2.1,-2.77,Kikinda,Kikinda,Sljiva
04/11/2016 08:00,-0.55,0.79,-1.6,Kikinda,Kikinda,Sljiva
