,Tavg,Tmax,Tmin,opstina,mesto,usev
03/08/2013 00:00,18.14,18.68,17.89,Novi Sad,Cenej,Jabuka
03/08/2013 01:00,18.3,18.87,17.95,Novi Sad,Cenej,Jabuka
03/08/2013 02:00,17.43,17.89,16.81,Novi Sad,Cenej,Jabuka
03/08/2013 03:00,16.82,17.2,16.32,Novi Sad,Cenej,Jabuka
03/08/2013 04:00,15.79,16.31,15.5,Novi Sad,Cenej,Jabuka
03/08/2013 05:00,15.68,16.01,15.35,Novi Sad,Cenej,Jabuka
03/08/2013 06:00,16.97,18.54,15.89,Novi Sad,Cenej,Jabuka
03/08/2013 07:00,20.23,22.27,18.74,Novi Sad,Cenej,Jabuka
03/08/2013 08:00,24.82,26.92,22.76,Novi Sad,Cenej,Jabuka
03/08/2013 09:00,28.7,30.4,27.35,Novi Sad,Cenej,Jabuka
03/08/2013 10:00,32.97,35.2,30.75,Novi Sad,Cenej,Jabuka
03/08/2013 11:00,34.67,35.6,33.8,Novi Sad,Cenej,Jabuka
03/08/2013 12:00,33.56,34.63,32.79,Novi Sad,Cenej,Jabuka
03/08/2013 13:00,35.44,36.59,34.72,Novi Sad,Cenej,Jabuka
03/08/2013 14:00,36.06,37.66,34.11,Novi Sad,Cenej,Jabuka
03/08/2013 15:00,35.03,35.94,34.33,Novi Sad,Cenej,Jabuka
03/08/2013 16:00,35.23,35.8,34.61,Novi Sad,Cenej,Jabuka
03/08/2013 17:00,33.44,34.77,32.89,Novi Sad,Cenej,Jabuka
03/08/2013 18:00,31.57,33.43,28.95,Novi Sad,Cenej,Jabuka
03/08/2013 19:00,27.07,28.7,25.57,Novi Sad,Cenej,Jabuka
03/08/2013 20:00,24.3,25.5,23.79,Novi Sad,Cenej,Jabuka
03/08/2013 21:00,22.64,23.72,21.62,Novi Sad,Cenej,Jabuka
03/08/2013 22:00,21.21,21.49,20.77,Novi Sad,Cenej,Jabuka
03/08/2013 23:00,20.79,20.89,20.64,Novi Sad,Cenej,Jabuka
04/08/2013 00:00,20.28,20.82,19.75,Novi Sad,Cenej,Jabuka
04/08/2013 01:00,19.14,19.64,18.69,Novi Sad,Cenej,Jabuka
04/08/2013 02:00,18.72,18.98,18.51,Novi Sad,Cenej,Jabuka
04/08/2013 03:00,18.57,18.95,18.06,Novi Sad,Cenej,Jabuka
04/08/2013 04:00,18.02,18.25,17.84,Novi Sad,Cenej,Jabuka
04/08/2013 05:00,17.95,18.5,17.51,Novi Sad,Cenej,Jabuka
04/08/2013 06:00,18.9,20.4,18.2,Novi Sad,Cenej,Jabuka
04/08/2013 07:00,22.22,23.81,20.75,Novi Sad,Cenej,Jabuka
04/08/2013 08:00,25.52,27.5,23.76,Novi Sad,Cenej,Jabuka
04/08/2013 09:00,28.63,30.06,27.73,Novi Sad,Cenej,Jabuka
04/08/2013 10:00,31.52,32.84,30.19,Novi Sad,Cenej,Jabuka
04/08/2013 11:00,34.34,35.15,32.72,Novi Sad,Cenej,Jabuka
04/08/2013 12:00,35.37,35.77,35.03,Novi Sad,Cenej,Jabuka
04/08/2013 13:00,35.6,36.51,34.89,Novi Sad,Cenej,Jabuka
04/08/2013 14:00,35.32,35.8,34.95,Novi Sad,Cenej,Jabuka
04/08/2013 15:00,35.16,35.6,34.72,Novi Sad,Cenej,Jabuka
04/08/2013 16:00,34.86,35.17,34.64,Novi Sad,Cenej,Jabuka
04/08/2013 17:00,33.97,34.66,33.43,Novi Sad,Cenej,Jabuka
04/08/2013 18:00,31.47,33.4,29.16,Novi Sad,Cenej,Jabuka
04/08/2013 19:00,27.27,28.88,25.53,Novi Sad,Cenej,Jabuka
04/08/2013 20:00,23.41,25.25,22.04,Novi Sad,Cenej,Jabuka
04/08/2013 21:00,20.93,21.93,19.98,Novi Sad,Cenej,Jabuka
04/08/2013 22:00,20.01,20.28,19.55,Novi Sad,Cenej,Jabuka
04/08/2013 23:00,18.85,19.73,17.93,Novi Sad,Cenej,Jabuka
05/08/2013 00:00,17.45,17.8,17.09,Novi Sad,Cenej,Jabuka
05/08/2013 01:00,16.87,17.12,16.57,Novi Sad,Cenej,Jabuka
05/08/2013 02:00,16.3,17.09,15.79,Novi Sad,Cenej,Jabuka
05/08/2013 03:00,15.53,15.91,15.23,Novi Sad,Cenej,Jabuka
05/08/2013 04:00,15.8,16.44,15.08,Novi Sad,Cenej,Jabuka
05/08/2013 05:00,14.64,14.95,14.27,Novi Sad,Cenej,Jabuka
05/08/2013 06:00,15.79,17.11,14.87,Novi Sad,Cenej,Jabuka
05/08/2013 07:00,19.63,21.52,17.19,Novi Sad,Cenej,Jabuka
05/08/2013 08:00,23.79,25.29,21.77,Novi Sad,Cenej,Jabuka
05/08/2013 09:00,26.66,28.86,25.13,Novi Sad,Cenej,Jabuka
05/08/2013 10:00,29.66,30.53,28.49,Novi Sad,Cenej,Jabuka
05/08/2013 11:00,30.95,31.65,30.31,Novi Sad,Cenej,Jabuka
05/08/2013 12:00,31.98,32.92,31.29,Novi Sad,Cenej,Jabuka
05/08/2013 13:00,33.46,34,33.07,Novi Sad,Cenej,Jabuka
05/08/2013 14:00,34.33,34.93,33.46,Novi Sad,Cenej,Jabuka
05/08/2013 15:00,34.48,35.07,34.03,Novi Sad,Cenej,Jabuka
05/08/2013 16:00,34.28,34.58,33.97,Novi Sad,Cenej,Jabuka
05/08/2013 17:00,34.62,35.14,33.77,Novi Sad,Cenej,Jabuka
05/08/2013 18:00,34.05,35.96,30.79,Novi Sad,Cenej,Jabuka
05/08/2013 19:00,28.26,30.24,26.58,Novi Sad,Cenej,Jabuka
05/08/2013 20:00,24.78,26.17,23.83,Novi Sad,Cenej,Jabuka
05/08/2013 21:00,23.19,23.81,22.38,Novi Sad,Cenej,Jabuka
05/08/2013 22:00,21.47,22.35,20.69,Novi Sad,Cenej,Jabuka
05/08/2013 23:00,20.29,20.86,19.43,Novi Sad,Cenej,Jabuka
06/08/2013 00:00,18.9,19.38,18.58,Novi Sad,Cenej,Jabuka
06/08/2013 01:00,18.01,18.39,17.77,Novi Sad,Cenej,Jabuka
06/08/2013 02:00,17.84,18.16,17.4,Novi Sad,Cenej,Jabuka
06/08/2013 03:00,17.26,17.36,17.15,Novi Sad,Cenej,Jabuka
06/08/2013 04:00,16.71,17.05,16.58,Novi Sad,Cenej,Jabuka
06/08/2013 05:00,16.87,17.17,16.39,Novi Sad,Cenej,Jabuka
06/08/2013 06:00,18.1,19.22,17.18,Novi Sad,Cenej,Jabuka
06/08/2013 07:00,20.84,22.28,19.42,Novi Sad,Cenej,Jabuka
06/08/2013 08:00,25.42,27.51,22.74,Novi Sad,Cenej,Jabuka
06/08/2013 09:00,29.71,32.37,27.88,Novi Sad,Cenej,Jabuka
06/08/2013 10:00,34.51,35.74,32.78,Novi Sad,Cenej,Jabuka
06/08/2013 11:00,37.14,37.72,36.35,Novi Sad,Cenej,Jabuka
06/08/2013 12:00,36.66,37.32,35.95,Novi Sad,Cenej,Jabuka
06/08/2013 13:00,37.91,38.63,37.41,Novi Sad,Cenej,Jabuka
06/08/2013 14:00,37.11,38.09,36.57,Novi Sad,Cenej,Jabuka
06/08/2013 15:00,35.76,36.26,35.24,Novi Sad,Cenej,Jabuka
06/08/2013 16:00,36.65,37.98,35.58,Novi Sad,Cenej,Jabuka
06/08/2013 17:00,36.13,37.02,35.1,Novi Sad,Cenej,Jabuka
06/08/2013 18:00,34.81,36.97,31.21,Novi Sad,Cenej,Jabuka
06/08/2013 19:00,28.5,30.54,26.67,Novi Sad,Cenej,Jabuka
06/08/2013 20:00,24.05,26.7,22.95,Novi Sad,Cenej,Jabuka
06/08/2013 21:00,22.74,23.57,21.95,Novi Sad,Cenej,Jabuka
06/08/2013 22:00,21.74,22.94,20.74,Novi Sad,Cenej,Jabuka
06/08/2013 23:00,20.1,20.93,19.29,Novi Sad,Cenej,Jabuka
07/08/2013 00:00,18.86,19.2,18.64,Novi Sad,Cenej,Jabuka
07/08/2013 01:00,18.39,18.6,18,Novi Sad,Cenej,Jabuka
07/08/2013 02:00,17.4,17.84,16.92,Novi Sad,Cenej,Jabuka
07/08/2013 03:00,16.89,17.2,16.57,Novi Sad,Cenej,Jabuka
07/08/2013 04:00,16.69,16.89,16.44,Novi Sad,Cenej,Jabuka
07/08/2013 05:00,16.27,16.51,16.1,Novi Sad,Cenej,Jabuka
07/08/2013 06:00,17.02,18.2,16.56,Novi Sad,Cenej,Jabuka
07/08/2013 07:00,20.07,21.91,18.52,Novi Sad,Cenej,Jabuka
07/08/2013 08:00,24.09,25.73,22.3,Novi Sad,Cenej,Jabuka
07/08/2013 09:00,28.22,31.11,26.17,Novi Sad,Cenej,Jabuka
07/08/2013 10:00,33.05,35.28,31.18,Novi Sad,Cenej,Jabuka
07/08/2013 11:00,35.4,36.83,33.66,Novi Sad,Cenej,Jabuka
07/08/2013 12:00,36.55,37.94,35.76,Novi Sad,Cenej,Jabuka
07/08/2013 13:00,37.37,38.42,36.61,Novi Sad,Cenej,Jabuka
07/08/2013 14:00,37.39,38.46,36.21,Novi Sad,Cenej,Jabuka
07/08/2013 15:00,37.31,37.91,36.73,Novi Sad,Cenej,Jabuka
07/08/2013 16:00,36.86,37.29,36.52,Novi Sad,Cenej,Jabuka
07/08/2013 17:00,35.13,36.02,34.28,Novi Sad,Cenej,Jabuka
07/08/2013 18:00,32.36,34.98,29.1,Novi Sad,Cenej,Jabuka
07/08/2013 19:00,26.84,28.69,25.35,Novi Sad,Cenej,Jabuka
07/08/2013 20:00,23.94,25.19,22.9,Novi Sad,Cenej,Jabuka
07/08/2013 21:00,21.55,22.7,20.92,Novi Sad,Cenej,Jabuka
07/08/2013 22:00,20.55,21,20.03,Novi Sad,Cenej,Jabuka
07/08/2013 23:00,19.51,20.05,19.2,Novi Sad,Cenej,Jabuka
08/08/2013 00:00,18.96,19.26,18.71,Novi Sad,Cenej,Jabuka
08/08/2013 01:00,18.38,18.67,18.06,Novi Sad,Cenej,Jabuka
08/08/2013 02:00,18.71,18.97,18.27,Novi Sad,Cenej,Jabuka
08/08/2013 03:00,18.12,18.53,17.7,Novi Sad,Cenej,Jabuka
08/08/2013 04:00,17.28,17.64,16.9,Novi Sad,Cenej,Jabuka
08/08/2013 05:00,16.72,16.86,16.64,Novi Sad,Cenej,Jabuka
08/08/2013 06:00,17.64,18.83,16.78,Novi Sad,Cenej,Jabuka
