Date,Tavg,Tmax,Tmin,opstina,mesto,usev
01/11/2015 00:00,4.6,5.04,3.68,Zrenjanin,Sutjeska,Sljiva
01/11/2015 01:00,4.35,4.69,3.98,Zrenjanin,Sutjeska,Sljiva
01/11/2015 02:00,3.27,4.06,1.74,Zrenjanin,Sutjeska,Sljiva
01/11/2015 03:00,2.95,3.88,1.88,Zrenjanin,Sutjeska,Sljiva
01/11/2015 04:00,0.41,3.66,-1.65,Zrenjanin,Sutjeska,Sljiva
01/11/2015 05:00,-1.53,-0.09,-2.09,Zrenjanin,Sutjeska,Sljiva
01/11/2015 06:00,-2.35,-1.62,-3.15,Zrenjanin,Sutjeska,Sljiva
01/11/2015 07:00,-3.08,-2.02,-3.56,Zrenjanin,Sutjeska,Sljiva
01/11/2015 08:00,1.06,4.23,-1.82,Zrenjanin,Sutjeska,Sljiva
01/11/2015 09:00,7.21,8.9,4.81,Zrenjanin,Sutjeska,Sljiva
01/11/2015 10:00,9.57,10.48,8.84,Zrenjanin,Sutjeska,Sljiva
01/11/2015 11:00,11.17,11.75,10.57,Zrenjanin,Sutjeska,Sljiva
01/11/2015 12:00,11.93,12.29,11.51,Zrenjanin,Sutjeska,Sljiva
01/11/2015 13:00,12.89,13.6,12.23,Zrenjanin,Sutjeska,Sljiva
01/11/2015 14:00,13.5,13.82,13.12,Zrenjanin,Sutjeska,Sljiva
01/11/2015 15:00,12.95,13.37,12.37,Zrenjanin,Sutjeska,Sljiva
01/11/2015 16:00,10.92,12.22,9.18,Zrenjanin,Sutjeska,Sljiva
01/11/2015 17:00,6.21,8.8,3.51,Zrenjanin,Sutjeska,Sljiva
01/11/2015 18:00,3.65,5.09,1.61,Zrenjanin,Sutjeska,Sljiva
01/11/2015 19:00,0.77,1.64,-0.63,Zrenjanin,Sutjeska,Sljiva
01/11/2015 20:00,-0.08,0.48,-0.56,Zrenjanin,Sutjeska,Sljiva
01/11/2015 21:00,0.57,1.74,-0.97,Zrenjanin,Sutjeska,Sljiva
01/11/2015 22:00,-0.14,0.99,-1.18,Zrenjanin,Sutjeska,Sljiva
01/11/2015 23:00,-0.06,1.73,-2.21,Zrenjanin,Sutjeska,Sljiva
02/11/2015 00:00,-2.33,-1.65,-2.98,Zrenjanin,Sutjeska,Sljiva
02/11/2015 01:00,-2.9,-2.33,-3.61,Zrenjanin,Sutjeska,Sljiva
02/11/2015 02:00,-3.49,-2.94,-4.11,Zrenjanin,Sutjeska,Sljiva
02/11/2015 03:00,-4.09,-3.67,-4.63,Zrenjanin,Sutjeska,Sljiva
02/11/2015 04:00,-3.2,-2.74,-3.87,Zrenjanin,Sutjeska,Sljiva
02/11/2015 05:00,-3.6,-3.17,-4.06,Zrenjanin,Sutjeska,Sljiva
02/11/2015 06:00,-3.8,-3.37,-4.29,Zrenjanin,Sutjeska,Sljiva
02/11/2015 07:00,-4.41,-3.64,-5.06,Zrenjanin,Sutjeska,Sljiva
02/11/2015 08:00,-1.01,1.39,-3.29,Zrenjanin,Sutjeska,Sljiva
02/11/2015 09:00,4.32,6.57,1.91,Zrenjanin,Sutjeska,Sljiva
02/11/2015 10:00,8.82,10.67,7.25,Zrenjanin,Sutjeska,Sljiva
02/11/2015 11:00,11.52,12.9,10.13,Zrenjanin,Sutjeska,Sljiva
02/11/2015 12:00,12.67,13.69,11.83,Zrenjanin,Sutjeska,Sljiva
02/11/2015 13:00,13.6,14.03,13.24,Zrenjanin,Sutjeska,Sljiva
02/11/2015 14:00,13.81,14.22,13.21,Zrenjanin,Sutjeska,Sljiva
02/11/2015 15:00,13.53,14.04,12.97,Zrenjanin,Sutjeska,Sljiva
02/11/2015 16:00,11.44,12.71,10.25,Zrenjanin,Sutjeska,Sljiva
02/11/2015 17:00,6.02,9.85,2.54,Zrenjanin,Sutjeska,Sljiva
02/11/2015 18:00,2.04,2.27,1.83,Zrenjanin,Sutjeska,Sljiva
02/11/2015 19:00,2.13,2.6,1.49,Zrenjanin,Sutjeska,Sljiva
02/11/2015 20:00,1.87,2.59,0.7,Zrenjanin,Sutjeska,Sljiva
02/11/2015 21:00,-0.61,0.5,-1.38,Zrenjanin,Sutjeska,Sljiva
02/11/2015 22:00,-1.12,-0.61,-1.81,Zrenjanin,Sutjeska,Sljiva
02/11/2015 23:00,-1.58,-1.22,-1.97,Zrenjanin,Sutjeska,Sljiva
03/11/2015 00:00,-2.5,-1.97,-3.03,Zrenjanin,Sutjeska,Sljiva
03/11/2015 01:00,-3.01,-2.49,-3.45,Zrenjanin,Sutjeska,Sljiva
03/11/2015 02:00,-2.86,-2.65,-3.22,Zrenjanin,Sutjeska,Sljiva
03/11/2015 03:00,-2.86,-2.73,-2.98,Zrenjanin,Sutjeska,Sljiva
03/11/2015 04:00,-2.98,-2.82,-3.25,Zrenjanin,Sutjeska,Sljiva
03/11/2015 05:00,-2.56,-2.4,-2.89,Zrenjanin,Sutjeska,Sljiva
03/11/2015 06:00,-2.54,-2.42,-2.67,Zrenjanin,Sutjeska,Sljiva
03/11/2015 07:00,-2.47,-2.42,-2.54,Zrenjanin,Sutjeska,Sljiva
03/11/2015 08:00,-1.92,-1.24,-2.42,Zrenjanin,Sutjeska,Sljiva
03/11/2015 09:00,-0.37,0.46,-1.1,Zrenjanin,Sutjeska,Sljiva
03/11/2015 10:00,1.95,3.5,0.98,Zrenjanin,Sutjeska,Sljiva
03/11/2015 11:00,4.44,5.25,3.69,Zrenjanin,Sutjeska,Sljiva
03/11/2015 12:00,6.8,8.06,5.57,Zrenjanin,Sutjeska,Sljiva
03/11/2015 13:00,10.88,11.96,8.82,Zrenjanin,Sutjeska,Sljiva
03/11/2015 14:00,12.59,12.97,12.04,Zrenjanin,Sutjeska,Sljiva
03/11/2015 15:00,12.83,13.03,12.5,Zrenjanin,Sutjeska,Sljiva
03/11/2015 16:00,10.41,12.21,7.94,Zrenjanin,Sutjeska,Sljiva
03/11/2015 17:00,4.62,7.41,1.7,Zrenjanin,Sutjeska,Sljiva
03/11/2015 18:00,0.94,1.4,0.53,Zrenjanin,Sutjeska,Sljiva
03/11/2015 19:00,0.29,0.63,0.06,Zrenjanin,Sutjeska,Sljiva
03/11/2015 20:00,0.8,2.03,-1.01,Zrenjanin,Sutjeska,Sljiva
03/11/2015 21:00,-1.5,-0.71,-2.22,Zrenjanin,Sutjeska,Sljiva
03/11/2015 22:00,-2.16,-1.59,-2.63,Zrenjanin,Sutjeska,Sljiva
03/11/2015 23:00,-2.38,-2.27,-2.53,Zrenjanin,Sutjeska,Sljiva
04/11/2015 00:00,-2.43,-2.08,-2.74,Zrenjanin,Sutjeska,Sljiva
04/11/2015 01:00,-2.59,-2.22,-2.87,Zrenjanin,Sutjeska,Sljiva
04/11/2015 02:00,-2.22,-0.35,-3.09,Zrenjanin,Sutjeska,Sljiva
04/11/2015 03:00,0.16,0.59,-0.68,Zrenjanin,Sutjeska,Sljiva
04/11/2015 04:00,-2.53,-0.73,-3.82,Zrenjanin,Sutjeska,Sljiva
04/11/2015 05:00,-4.04,-3.93,-4.16,Zrenjanin,Sutjeska,Sljiva
04/11/2015 06:00,-4.27,-4.17,-4.38,Zrenjanin,Sutjeska,Sljiva
04/11/2015 07:00,-4.19,-3.92,-4.33,Zrenjanin,Sutjeska,Sljiva
04/11/2015 08:00,-2.74,-1.63,-3.77,Zrenjanin,Sutjeska,Sljiva
04/11/2015 09:00,1.22,4.59,-1.24,Zrenjanin,Sutjeska,Sljiva
04/11/2015 10:00,5.93,7.75,4.61,Zrenjanin,Sutjeska,Sljiva
04/11/2015 11:00,10.13,12,8.27,Zrenjanin,Sutjeska,Sljiva
04/11/2015 12:00,13.2,14.54,12.01,Zrenjanin,Sutjeska,Sljiva
04/11/2015 13:00,15.4,16.05,14.28,Zrenjanin,Sutjeska,Sljiva
04/11/2015 14:00,16.35,17.01,15.67,Zrenjanin,Sutjeska,Sljiva
04/11/2015 15:00,15.54,15.9,15.03,Zrenjanin,Sutjeska,Sljiva
04/11/2015 16:00,13.02,14.74,10.76,Zrenjanin,Sutjeska,Sljiva
04/11/2015 17:00,7.72,10.27,5.32,Zrenjanin,Sutjeska,Sljiva
04/11/2015 18:00,3.52,4.88,2.08,Zrenjanin,Sutjeska,Sljiva
04/11/2015 19:00,3.12,4.44,2.1,Zrenjanin,Sutjeska,Sljiva
04/11/2015 20:00,1.24,1.73,0.74,Zrenjanin,Sutjeska,Sljiva
04/11/2015 21:00,1.07,1.63,0.21,Zrenjanin,Sutjeska,Sljiva
04/11/2015 22:00,0.52,1.39,-0.41,Zrenjanin,Sutjeska,Sljiva
